Question Number,Question,Option 1,Option 2,Option 3,Option 4
1,Which one of the following is eight hundred and eight thousand and eighteen in figures?808 018818 080880 018880 080,,,,
2,What does the digit 5 in 534 987 stand for?,,,,
500,,,,,
5000,50 000500 000,,,,
3,"What is the value of 30 ones, 30 tenths and 30 hundredths?",,,,
333,30.3333.03,,,,
3330,,,,,
4,"In 178.234, which digit is in the hundredths place?",,,,
1,,,,,
2,,,,,
3,,,,,
4,"5_In the numeral 824 031,the value of the digit 4 is",,,,
40,,,,,
400,,,,,
4000,40 000,,,,
